COD. OAE;DESCRITIVO;TIPO DE OAE;DISTRITO;RODOVIA;COD. TRECHO;DESCRITIVO;km;LATITUTE;LONGITUDE
99;Passarela na DF-003;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0170;ENTR. DF-051 (EPGU) - ENTR. DF-075 (EPNB);21747;-15.846.525.526.251;-47.954.506.534.679
100;Viaduto de acesso a Candangolandia;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0170;ENTR. DF-051 (EPGU) - ENTR. DF-075 (EPNB);22393;-15.848.044.432.692;-47.954.759.918.420
101;Ponte 1 sobre Córrego do Guará;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0170;ENTR. DF-051 (EPGU) - ENTR. DF-075 (EPNB);22652;-15.847.653.739.414;-47.954.555.561.222
102;Ponte 2 sobre Córrego do Guará;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0170;ENTR. DF-051 (EPGU) - ENTR. DF-075 (EPNB);22651;-15.847.709.120.654;-47.954.695.744.195
103;Ponte sobre Rio Maranhão na DF-131;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF131 ;131EDF0010;DIVISA GO/DF - ENTR. DF-205;0;-15.491.039.568.000;-47.687.885.826.750
104;Ponte sobre Rio Maranhão na DF-128;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF131 ;131EDF0010;DIVISA GO/DF - ENTR. DF-205;0;-15.505.147.138.750;-47.617.799.303.500
105;Ponte sobre Córrego Vereda Grande;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF205 ;205EDF0170;ENTR. DF-128 - ENTR. BR-010/DF-345;59212;-15.519.788.295.616;-47.566.773.627.792
106;Ponte sobre Córrego Corginho;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF128 ;128EDF0110;ENTR. DF-230 - ACESSO AO INSTITUTO FEDERAL DE BRASÍLIA;20365;-15.646.659.187.750;-47.693.523.682.500
107;Ponte sobre Rio Mestre D'Armas;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF230 ;230EDF0030;ENTR. DF-128 - ENTR. DF-130;5018;-15.647.644.709.250;-47.675.959.696.500
108;Ponte sobre Rio Pipiripau;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF130 ;130EDF0010;ENTR. DF-230 - ACESSO AO VALE DO AMANHECER;1961;-15.665.525.995.000;-47.646.116.730.000
109;Ponte sobre Córrego Cachoeirinha;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF230 ;230EDF0070;ENTR. DF-345 - ENTR. VC-137(A);13722;-15.658.874.344.500;-47.601.460.769.000
110;Pontilhão sobre Córrego Pipiripau;PONTILHÃO;PRIMEIRO DISTRITO RODOVIÁRIO;DF230 ;230EDF0070;ENTR. DF-345 - ENTR. VC-137(A);12350;-15.659.480.633.750;-47.588.633.924.250
111;Ponte sobre Córrego Taquara;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF410 ;410EDF0010;ENTR. BR-020/BR-030 - ENTR. VC-121;3288;-15.611.113.623.000;-47.542.816.319.500
112;Pontilhão sobre Córrego Quinze;PONTILHÃO;PRIMEIRO DISTRITO RODOVIÁRIO;DF353 ;353EDF0030;ENTR. VC-129 - ENTR. VC-123;3932;-15.685.828.571.250;-47.582.794.423.750
113;Ponte sobre Ribeirão Extrema;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;VC165 ;165EVC0010;ENTR. DF-310 - ENTR. DF-320;2031;-15.750.942.090.990;-47.474.057.354.273
114;Ponte sobre Ribeirão Extrema;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;VC173 ;173EVC0010;ENTR. DF-310 - ENTR. DF-320;54523;-15.782.520.592.000;-47.447.884.077.500
115;Ponte sobre Córrego Barbatimão;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF320 ;320EDF0070;FIM DE TRECHO PAVIMENTADO (Km 11,7) - ENTR. VC-173;12922;-15.776.333.471.250;-47.473.222.914.000
116;Ponte sobre Ribeirão Extrema;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF100 ;100EDF0190;ENTR. DF-310 - ENTR. DF-260/DF-320;29293;-15.846.009.813.000;-47.385.304.540.500
117;Ponte sobre Ribeirão Barro Preto;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF310 ;310EDF0110;ENTR. VC-177(B) - ENTR. DF-100;22843;-15.821.521.949.500;-47.390.571.528.500
118;Ponte sobre Córrego Barreira.;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;VC169 ;169EVC0010;ENTR. DF-100(A) - ENTR. DF-100(B);5174;-15.789.851.159.144;-47.350.753.475.776
119;Ponte sobre Ribeirão Jacaré;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF100 ;100EDF0010;ENTR. BR-020/BR-030 - ENTR. DF-230;6938;-15.642.394.249.000;-47.355.251.311.000
120;Ponte sobre Ribeirão Santa Rita;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;BR020 ;020BDF0070;ENTR. DF-100 - ENTR. BR-030 (B)/DIVISA DF/GO;57889;-15.581.517.604.250;-47.343.531.622.750
121;Ponte sobre Córrego Retiro do Meio;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF105 ;105EDF0010;ENTR. BR-020/030 - FIM DO TRECHO IMPLANTADO (Km 5,9);1245;-15.626.063.009.000;-47.394.563.962.500
122;Ponte sobre Córrego Pipiripau;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;BR020 ;020BDF0052;ENTR. DF-410 - ENTR. DF-110;40614;-15.581.325.010.250;-47.505.841.771.500
123;Ponte sobre Ribeirão Pipiripau;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;VC113 ;113EVC0030;ENTR. VC-103 - ENTR. DF-110;2807;-15.563.319.324.049;-47.511.348.502.866
124;Pontilhão sobre Córrego Vendinha;PONTILHÃO;PRIMEIRO DISTRITO RODOVIÁRIO;DF205 ;205EDF0230;ENTR. VC-103 - ENTR. DF-110;68055;-15.523.216.857.500;-47.491.341.370.500
125;Passarela na DF-095;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF095 ;095EDF0050;ENTR. DF-087 (EPVL) - ENTR. BR-070/251/DF-001 (EPCT);7801;-15.789.166.214.922;-47.987.124.790.221
126;Passarela na DF-095;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF095 ;095EDF0050;ENTR. DF-087 (EPVL) - ENTR. BR-070/251/DF-001 (EPCT);9234;-15.786.929.464.693;-47.998.971.523.993
127;Viaduto na DF-095 acesso Estrutural;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF095 ;095EDF0050;ENTR. DF-087 (EPVL) - ENTR. BR-070/251/DF-001 (EPCT);9605;-15.786.787.908.192;-48.002.066.636.431
128;Passarela na DF-095;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF095 ;095EDF0050;ENTR. DF-087 (EPVL) - ENTR. BR-070/251/DF-001 (EPCT);9974;-15.786.910.589.573;-48.005.195.621.597
129;Ponte sobre Córrego Cana do Reino;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF095 ;095EDF0050;ENTR. DF-087 (EPVL) - ENTR. BR-070/251/DF-001 (EPCT);10225;-15.787.270.629.622;-48.008.941.175.534
130;Viaduto 1 na DF-001 sobre a DF-095;VIAD. SOBRE ROD./RUA;QUINTO DISTRITO RODOVIÁRIO;DF001 ;001EDF0430;ENTR. BR-070/DF-095(EPCL) - ENTR. DF-097 (EPAC);81702;-15.792.209.547.000;-48.053.291.783.000
131;Viaduto 1 na DF-001 sobre a DF-095;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF001 ;001EDF0410;ENTR. DF-085 (EPTG)/TAGUATINGA - ENTR. BR-070/DF-095 (EPCL);81681;-15.792.277.622.750;-48.053.626.527.500
132;Viaduto 1 na DF-001 EPTG;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0050;ENTR. DF-079 (EPVP) - ENTR. BR-251/DF-001 (EPCT);11175;-15.831.656.008.421;-48.050.421.100.445
133;Viaduto 2 na DF-001 EPTG;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0050;ENTR. DF-079 (EPVP) - ENTR. BR-251/DF-001 (EPCT);11167;-15.831.848.396.037;-48.050.263.465.133
134;Passarela na DF-085 -(EPTG) -UNIEURO;PASSARELA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0050;ENTR. DF-079 (EPVP) - ENTR. BR-251/DF-001 (EPCT);10100;-15.830.428.368.302;-48.040.368.290.256
135;Ponte na DF085;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0050;ENTR. DF-079 (EPVP) - ENTR. BR-251/DF-001 (EPCT);8035;-15.820.634.836.159;-48.019.899.074.126
136;Ponte na DF085;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0050;ENTR. DF-079 (EPVP) - ENTR. BR-251/DF-001 (EPCT);8035;-15.820.470.392.159;-48.020.000.402.626
137;Viaduto 1 EPTG - Entrada Águas Claras;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0050;ENTR. DF-079 (EPVP) - ENTR. BR-251/DF-001 (EPCT);7292;-15.817.592.334.607;-48.013.842.606.028
138;Viaduto 2 EPTG - Entrada Águas Claras;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0030;ENTR. DF-087 (EPVL) - ENTR. DF-079 (EPVP);7110;-15.816.928.173.811;-48.011.767.308.732
141;Viaduto 1 sobre Ferrovia na DF-085;VIAD. SOBRE FERROVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0010;ENTR. DF-003 (EPIA) - ENTR. DF-087 (EPVL);4840;-15.810.862.644.404;-47.992.931.810.699
142;Viaduto 2 sobre Ferrovia na DF-085;VIAD. SOBRE FERROVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0010;ENTR. DF-003 (EPIA) - ENTR. DF-087 (EPVL);4839;-15.811.093.832.029;-47.992.960.508.822
143;Viaduto na DF-085 entrada Guará;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0010;ENTR. DF-003 (EPIA) - ENTR. DF-087 (EPVL);3458;-15.811.982.202.350;-47.980.449.658.530
144;Ponte 1 sobre Córrego vicente Pires;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0030;ENTR. DF-087 (EPVL) - ENTR. DF-079 (EPVP);6282;-15.814.160.975.421;-48.004.439.614.915
145;Ponte 2 sobre Córrego vicente Pires;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0030;ENTR. DF-087 (EPVL) - ENTR. DF-079 (EPVP);6286;-15.814.258.243.583;-48.004.252.159.318
146;Pontilhão 1 sobre Córrego Vicente Pires;PONTILHÃO;TERCEIRO DISTRITO RODOVIÁRIO;DF079 ;079EDF0010;ENTR. DF-085 (EPTG) - ENTR. DF-081 (EPIB);289;-15.820.039.153.000;-48.011.729.789.500
147;Ponte 2 sobre Córrego Vicente Pires;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF079 ;079EDF0010;ENTR. DF-085 (EPTG) - ENTR. DF-081 (EPIB);290;-15.819.973.550.000;-48.011.573.322.750
148;Viaduto na DF-079 sobre Rod. (Metrô Águas Claras);VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF079 ;079EDF0010;ENTR. DF-085 (EPTG) - ENTR. DF-081 (EPIB);2229;-15.837.400.385.000;-48.003.911.335.000
149;Ponte sobre Córrego Vereda da Cruz;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF079 ;079EDF0030;ENTR. DF-081 (EPIB) - ENTR. DF-075 (EPNB);2641;-15.840.748.010.750;-48.002.422.867.500
150;Viaduto 1 sobre Ferrovia;VIAD. SOBRE FERROVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF075 ;075EDF0030;ACESSO AO NÚCLEO BANDEIRANTE - ENTR. DF-079 (EPVP);2735;-15.873.548.952.750;-47.979.015.735.000
151;Viaduto 2 sobre Ferrovia;VIAD. SOBRE FERROVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF075 ;075EDF0030;ACESSO AO NÚCLEO BANDEIRANTE - ENTR. DF-079 (EPVP);2697;-15.873.154.522.000;-47.978.833.114.000
152;Passarela entrada Riacho Fundo;PASSARELA;TERCEIRO DISTRITO RODOVIÁRIO;DF075 ;075EDF0010;ENTR. DF-003 (EPIA) - ACESSO AO NÚCLEO BANDEIRANTE;1962;-15.870.169.866.250;-47.972.702.887.750
153;Ponte 1 sobre Córrego Vicente Pires;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF075 ;075EDF0010;ENTR. DF-003 (EPIA) - ACESSO AO NÚCLEO BANDEIRANTE;447;-15.863.917.893.000;-47.960.207.208.000
154;Ponte 2 sobre Córrego Vicente Pires;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF075 ;075EDF0010;ENTR. DF-003 (EPIA) - ACESSO AO NÚCLEO BANDEIRANTE;447;-15.863.759.067.500;-47.960.295.453.750
155;Passarela na DF-075 entrada Riacho Fundo 1;PASSARELA;TERCEIRO DISTRITO RODOVIÁRIO;DF075 ;075EDF0050;ENTR. DF-079 (EPVP) - ENTR. BR-251/DF-001(EPCT);5686;-15.877.714.133.000;-48.005.731.377.000
156;Passarela na DF-075;PASSARELA;TERCEIRO DISTRITO RODOVIÁRIO;DF075 ;075EDF0050;ENTR. DF-079 (EPVP) - ENTR. BR-251/DF-001(EPCT);6735;-15.877.828.664.750;-48.015.292.681.250
157;Passarela acesso ao Shopping Taguatinga;PASSARELA;TERCEIRO DISTRITO RODOVIÁRIO;BR251 ;251BDF0630;ENTR. DF-075 (EPNB) - ENTR. DF-085 (EPTG) TAGUATINGA;82000;-15.844.224.347.279;-48.044.818.122.810
158;Passarela sobre DF001 Pistao Sul;PASSARELA;TERCEIRO DISTRITO RODOVIÁRIO;BR251 ;251BDF0590;ACESSO AO RECANTO DAS EMAS - ENTR. BR-060 (ACESSO I A SAMAMBAIA);74203;-15.864.147.724.519;-48.043.663.634.127
159;Passarela na DF-001 Pistão Sul (Facul.  Catolica);PASSARELA;TERCEIRO DISTRITO RODOVIÁRIO;BR251 ;251BDF0582;ENTR. VC-331 - ACESSO AO RECANTO DAS EMAS;72578;-15.876.961.141.026;-48.037.492.770.867
160;Viaduto 1 na DF-001 sobre a DF-075;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF001 ;001EDF0390;ENTR. DF-075 (EPNB) - ENTR. DF-085 (EPTG)/TAGUATINGA;71536;-15.875.901.440.000;-48.027.862.663.000
161;Viaduto 2 na DF-001 sobre a DF-075;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF001 ;001EDF0390;ENTR. DF-075 (EPNB) - ENTR. DF-085 (EPTG)/TAGUATINGA;71530;-15.875.927.242.000;-48.027.672.697.000
162;Viaduto 1 na BR-060 Samambaia;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF001 ;001EDF0330;ACESSO AO RECANTO DAS EMAS - ENTR. BR-060 /ACESSO I A SAMAMBAIA;67656;-15.882.484.157.500;-48.060.430.948.000
163;Viaduto 2 na BR-060 Samambaia;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF001 ;001EDF0330;ACESSO AO RECANTO DAS EMAS - ENTR. BR-060 /ACESSO I A SAMAMBAIA;67655;-15.882.429.799.250;-48.060.247.520.000
164;Viaduto 1 na BR-060 sobre a DF 180;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR060 ;060BDF0014;ENTR. DF-180 - ENTR. DF-280;10876;-15.907.832.337.000;-48.144.889.531.750
165;Viaduto 2 na BR-060 sobre a DF 180;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR060 ;060BDF0014;ENTR. DF-180 - ENTR. DF-280;10875;-15.908.040.195.250;-48.144.822.999.000
166;Viaduto 1 na BR-060 sobre a DF-290;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR060 ;060BDF0050;ENTR. DF-190 - ENTR. DF-290;29854;-16.038.196.657.250;-48.255.829.972.250
167;Viaduto 2 na BR-060 sobre a DF-290;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR060 ;060BDF0050;ENTR. DF-190 - ENTR. DF-290;29827;-16.038.053.976.500;-48.255.579.348.000
168;Viaduto 1 Myriam Pelles Pereira Ervilha na BR-060;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR060 ;060BDF0014;ENTR. DF-180 - ENTR. DF-280;10909;-15.923.648.197.500;-48.166.196.685.750
169;Viaduto 2 Myriam Pelles Pereira Ervilha na BR-060;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR060 ;060BDF0014;ENTR. DF-180 - ENTR. DF-280;10909;-15.923.586.990.750;-48.166.422.525.750
170;Passarela na DF-001 acesso Recanto das Emas;PASSARELA;TERCEIRO DISTRITO RODOVIÁRIO;DF001 ;001EDF0330;ACESSO AO RECANTO DAS EMAS - ENTR. BR-060 /ACESSO I A SAMAMBAIA;65756;-15.898.894.864.000;-48.055.037.299.250
171;Ponte sobre Rio Ponte Alta na VC-351;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;VC351 ;351EVC0010;ENTR. DF475 - ENTR. DF-180;122929;-15.991.692.886.750;-48.114.477.650.000
172;Ponte sobre Rio Ponte Alta na DF 180;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF180 ;180EDF0410;ENTR. VC-351 - ENTR. DF-290;37752;-15.992.088.905.500;-48.115.267.353.500
173;Ponte sobre Córrego Estiva;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;VC337 ;337EVC0010;ENTR. DF-180(A) - ENTR. DF-180(B);110550;-15.930.624.208.000;-48.126.872.363.250
174;Viaduto na DF-065 sobre a DF-003;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF065 ;065EDF0010;ENTR. DF-003 (EPIA) - ENTR. BR-251/DF-001 (EPCT)/DF-480;3969;-15.951.863.627.563;-47.999.006.440.364
176;Viaduto 1 na BR040 entrada Santa Maria;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR040 ;040BDF0012;ACESSO A SANTA MARIA - ENTR. VC - 371;3145;-16.002.452.564.000;-47.984.303.763.500
177;Viaduto 2 na BR040 entrada de Santa Maria;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR040 ;040BDF0012;ACESSO A SANTA MARIA - ENTR. VC - 371;3146;-16.002.416.999.500;-47.984.113.107.250
178;Viaduto 2 na BR040 saída Santa Maria;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR040 ;040BDF0012;ACESSO A SANTA MARIA - ENTR. VC - 371;3291;-16.003.627.015.000;-47.984.069.118.250
179;Viaduto 2 na BR040 saída Santa Maria;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;BR040 ;040BDF0012;ACESSO A SANTA MARIA - ENTR. VC - 371;3292;-16.003.591.884.500;-47.983.872.209.500
180;Viaduto 1 na BR040 divisa Goiás;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF290 ;290EDF0130;ENTR. VC-371 - ENTR. BR-040/BR-050;33958;-16.048.952.070.000;-47.981.252.808.000
181;Viaduto 2 na BR040 divisa Goiás;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF290 ;290EDF0130;ENTR. VC-371 - ENTR. BR-040/BR-050;33954;-16.049.196.170.000;-47.981.289.049.500
182;Ferrovia sobre Rodovia;FERROVIA SOBRE RODOVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF495 ;495EDF0010;ENTR.BR-040/BR-050 - FERROVIA CENTRO ATLÂNTICO FCA;2798;-16.033.789.079.750;-47.953.113.973.000
183;Ponte sobre Ribeirão Saia Velha;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF495 ;495EDF0030;FERROVIA CENTRO ATLÂNTICO - FCA - FIM DE TRECHO PAVIMENTADO (Km 11,6);4879;-16.035.781.428.000;-47.939.254.417.750
184;Ponte sobre Afluente do Rio Alagado;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;VC385 ;385EVC0010;ENTR. DF-290 - DIVISA DF/GO;150372;-16.045.331.858.250;-48.087.374.463.250
185;Ponte sobre Rio Melchior na VC-311;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;VC311 ;311EVC0010;ENTR. DF-180 - ACESSO CEILÂNDIA;92306;-15.853.104.776.750;-48.166.030.690.500
186;Ponte sobre Ribeirão Melchior na DF-180;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF180 ;180EDF0310;ENTR. VC-311 - ACESSO A SAMAMBAIA;21200;-15.857.519.125.750;-48.177.047.792.000
187;Ponte sobre Córrego Descoberto;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;VC321 ;321EVC0010;DIVISA GO/DF - ENTR. DF-190;99000;-15.868.629.601.000;-48.277.903.301.250
188;Ponte sobre Rio Melchior na DF-190;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF190 ;190EDF0030;ENTR. VC-321 - ENTR. DF-280(A);11407;-15.908.742.978.500;-48.249.205.108.250
189;Ponte sobre Rio Descoberto na DF-280;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF280 ;280EDF0010;DIVISA GO/DF - ENTR. DF-190(A);45;-15.942.927.364.000;-48.252.811.869.250
190;Ponte sobre Ribeirão Engenho das Lajes;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF290 ;290EDF0010;ENTR. BR-060 - ENTR. VC-381;2139;-16.030.281.149.500;-48.242.035.032.250
191;Ponte sobre Córrego Ponte Alta;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;VC381 ;381EVC0030;ENTR. VC-379 - DIVISA DF/GO;138382;-16.035.139.267.750;-48.138.070.617.000
192;Ponte sobre Rio Ponte Alta;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF290 ;290EDF0050;ENTR. DF-180 - ENTR. VC-379 /ACESSO AO GAMA;17279;-16.011.498.383.500;-48.116.770.316.500
193;Ponte sobre afluente Rio Ponte Alta.;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;VC383 ;383EVC0010;ENTR. VC-379 - DIVISA DF/GO;0;-16.045.113.178.213;-48.130.472.142.465
194;Ponte sobre córrego do Rio Alagado;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF290 ;290EDF0090;ACESSO AO GAMA - ENTR. AV. ALAGADO (SANTA MARIA);25395;-16.037.322.412.000;-48.054.058.999.750
195;Viaduto 1 sobre Via Férrea próx Univers. Católica;VIAD. SOBRE FERROVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF001 ;001EDF0390;ENTR. DF-075 (EPNB) - ENTR. DF-085 (EPTG)/TAGUATINGA;74695;-15.851.285.867.500;-48.040.782.427.500
196;Viaduto 2 sobre Via Férrea próx Univers. Católica;VIAD. SOBRE FERROVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF001 ;001EDF0390;ENTR. DF-075 (EPNB) - ENTR. DF-085 (EPTG)/TAGUATINGA;74694;-15.851.430.840.000;-48.041.044.854.250
197;Ponte sobre Córrego Estanislau na V-413;PONTE;QUARTO DISTRITO RODOVIÁRIO;VC413 ;413EVC0010;ENTR. DF-455 - ENTR. VC-411;185839;-15.806.242.798.750;-47.606.509.308.500
198;Ponte sobre Córrego Estanislau na DF-120;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF120 ;120EDF0030;ENTR. DF-455 - ENTR. DF-355;12136;-15.829.605.445.250;-47.566.063.967.750
199;Ponte na DF355;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF355 ;355EDF0030;ENTR. DF-120 - ENTR. VC-403;7945;-15.831.260.241.750;-47.553.897.048.500
200;Ponte sobre Rio Jardim;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF260 ;260EDF0090;ENTR. VC-419 - ENTR. VC-423;15187;-15.861.140.406.500;-47.476.725.548.500
201;Ponte sobre Ribeirão Cariru;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF120 ;120EDF0110;ENTR. DF-125/DF-260(B) - ENTR. VC-427;23391;-15.901.725.825.500;-47.517.340.059.250
202;Ponte sobre Rio Jardim na DF-270;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF270 ;270EDF0110;ENTR. VC-407 - ENTR. DF-322;15077;-15.912.828.985.000;-47.461.290.327.500
203;Ponte sobre Ribeirão Cariru na VC-407;PONTE;QUARTO DISTRITO RODOVIÁRIO;VC407 ;407EVC0010;ENTR. DF-260 - ENTR. DF-270;7000;-15.899.737.870.686;-47.471.737.840.044
204;Ponte sobre Córrego Lamarão;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF120 ;120EDF0170;ENTR. DF-270(B) - ENTR. DF-285;38341;-15.967.514.685.500;-47.474.337.769.250
205;Ponte sobre Rio Preto;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF285 ;285EDF0110;ENTR. VC-461 - DIVISA DF/MG;25542;-16.037.770.916.250;-47.310.497.959.500
206;Ponte sobre Rio São Bernado;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF100 ;100EDF0270;ENTR. DF-285 - ENTR. DF-295/DIVISA DF/GO;51161;-16.036.224.788.250;-47.413.682.663.750
207;Ponte sobre Córrego Quilombo;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF295 ;295EDF0050;ENTR. BR-251 - ENTR. VC-471;18586;-16.049.708.776.000;-47.440.155.211.500
208;Ponte sobre Córrego Pontinha;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF295 ;295EDF0050;ENTR. BR-251 - ENTR. VC-471;14690;-16.049.638.873.465;-47.484.306.695.493
209;Ponte sobre Rio Samambaia;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF295 ;295EDF0010;ENTR. DF-130 - ENTR.DF-125;1866;-16.049.595.003.750;-47.598.216.002.500
210;Ponte sobre Rio Jardim;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF100 ;100EDF0250;ENTR. DF-270 - ENTR. DF-285;44283;-15.975.359.336.666;-47.399.476.643.333
211;Ponte sobre Córrego Estreito;PONTE;QUARTO DISTRITO RODOVIÁRIO;DF100 ;100EDF0210;ENTR. DF-260/DF-320 - ENTR. VC-421;31870;-15.892.089.374.000;-47.392.281.482.500
212;Ponte sobre Rio São Bartolomeu;PONTE;QUARTO DISTRITO RODOVIÁRIO;BR251 ;251BDF0530;ENTR. DF-130 (B) - ENTR. DF-473;22019;-15.962.420.080.500;-47.661.925.408.500
213;Viaduto sobre Ferrovia;VIAD. SOBRE FERROVIA;SEGUNDO DISTRITO RODOVIÁRIO;DF001 ;001EDF0230;ENTR. VC-365 - ENTR. BR-040/050/DF-003 (EPIA);49704;-15.979.314.461.500;-47.955.891.439.000
